InstallID,CompletionDate,RetailerID,ContractorID,ProductID,InstallHours,InstallStatus
1,2023-09-21,S100,C003,P002,1.5,Completed
2,2023-09-14,S100,C002,P003,6.7,Completed
3,2023-10-11,S100,C002,P004,6.9,Completed
4,2023-10-21,S100,C003,P001,5.7,Completed
5,2023-09-20,S100,C007,P005,4.1,Delayed
6,2023-10-05,S100,C007,P003,8.8,Delayed
7,2023-10-15,S100,C008,P002,6.0,Completed
8,2023-09-14,S100,C001,P003,2.7,Completed
9,2023-09-23,S100,C002,P004,6.2,Completed
10,2023-09-28,S100,C005,P004,5.1,Completed
11,2023-09-16,S100,C006,P004,7.0,Completed
12,2023-10-09,S100,C007,P001,5.5,Completed
13,2023-10-01,S100,C001,P001,6.7,Completed
14,2023-10-15,S100,C005,P006,6.0,Completed
15,2023-10-07,S100,C003,P006,4.4,Completed
16,2023-10-24,S100,C002,P003,7.5,Completed
17,2023-10-02,S100,C005,P005,8.8,Completed
18,2023-09-25,S100,C004,P005,8.8,Completed
19,2023-10-13,S100,C003,P001,5.0,Completed
20,2023-10-08,S100,C001,P003,7.8,Completed
21,2023-09-25,S101,C008,P003,4.5,Completed
22,2023-09-19,S101,C005,P001,6.4,Completed
23,2023-10-01,S101,C001,P001,10.3,Completed
24,2023-10-15,S101,C001,P003,7.3,Delayed
25,2023-09-25,S101,C001,P004,1.9,Completed
26,2023-10-08,S101,C008,P001,6.4,Completed
27,2023-10-11,S101,C003,P003,4.4,Completed
28,2023-10-13,S101,C002,P001,5.8,Delayed
29,2023-09-16,S101,C002,P005,7.0,Completed
30,2023-10-04,S101,C004,P003,7.7,Completed
31,2023-10-07,S101,C004,P003,5.1,Completed
32,2023-09-25,S101,C001,P003,4.7,Completed
33,2023-09-21,S101,C007,P004,3.5,Delayed
34,2023-09-23,S101,C006,P004,7.8,Completed
35,2023-09-30,S101,C004,P006,10.2,Completed
36,2023-09-19,S101,C006,P004,8.1,Completed
37,2023-10-01,S102,C001,P002,5.4,Completed
38,2023-09-15,S102,C004,P005,6.0,Completed
39,2023-10-12,S102,C008,P001,8.5,Completed
40,2023-09-24,S102,C004,P002,7.5,Delayed
41,2023-09-25,S102,C004,P002,3.1,Completed
42,2023-10-11,S102,C005,P002,4.3,Completed
43,2023-10-29,S102,C005,P005,6.1,Delayed
44,2023-10-02,S102,C007,P002,8.0,Completed
45,2023-09-23,S102,C006,P004,6.9,Completed
46,2023-10-28,S102,C002,P006,6.1,Completed
