SalesID,OrderDate,RetailerID,ContractorID,ProductID,Quantity,SalesAmount
1,2023-09-09,S100,C007,P004,4,20055.57
2,2023-09-08,S100,C005,P002,3,4607.23
3,2023-09-08,S100,C001,P005,1,3651.22
4,2023-09-05,S100,C003,P004,2,10206.89
5,2023-09-24,S100,C006,P004,1,5813.69
6,2023-09-04,S100,C004,P002,1,1454.86
7,2023-09-22,S100,C006,P006,1,980.8
8,2023-09-24,S100,C007,P001,3,3556.91
9,2023-09-29,S100,C006,P001,1,1088.25
10,2023-09-18,S100,C001,P004,3,16654.14
11,2023-09-03,S100,C002,P004,3,15981.92
12,2023-09-19,S100,C007,P006,1,818.14
13,2023-09-14,S100,C005,P001,1,1278.9
14,2023-09-02,S100,C006,P005,1,3527.1
15,2023-09-01,S100,C002,P003,1,664.3
16,2023-09-03,S100,C004,P001,1,1187.16
17,2023-09-07,S100,C002,P004,2,10154.91
18,2023-09-08,S100,C002,P005,3,11001.42
19,2023-09-17,S100,C008,P002,4,6397.11
20,2023-09-20,S100,C006,P004,3,14933.88
21,2023-09-01,S100,C006,P001,1,1232.74
22,2023-09-18,S100,C005,P001,3,3784.0
23,2023-09-07,S100,C002,P004,1,5127.34
24,2023-09-23,S100,C003,P004,5,26330.56
25,2023-09-21,S100,C004,P003,3,2069.39
26,2023-09-08,S101,C004,P003,1,645.89
27,2023-09-02,S101,C004,P006,4,3621.35
28,2023-09-08,S101,C007,P004,1,5643.44
29,2023-09-29,S101,C006,P006,2,1845.81
30,2023-09-19,S101,C008,P003,3,2267.39
31,2023-09-03,S101,C004,P001,1,1239.24
32,2023-09-03,S101,C001,P001,1,1211.7
33,2023-09-24,S101,C004,P003,2,1260.11
34,2023-09-16,S101,C001,P003,3,2128.69
35,2023-09-27,S101,C001,P001,1,1143.65
36,2023-09-03,S101,C001,P002,2,3119.73
37,2023-09-25,S101,C002,P005,3,11907.19
38,2023-09-18,S101,C005,P003,1,654.8
39,2023-09-25,S101,C004,P004,4,19515.61
40,2023-09-05,S101,C008,P003,4,2562.6
41,2023-09-05,S101,C008,P002,1,1496.46
42,2023-09-22,S101,C004,P005,1,4172.44
43,2023-09-16,S101,C007,P001,1,1194.9
44,2023-09-18,S101,C007,P002,3,4842.82
45,2023-09-06,S101,C001,P003,5,3521.7
46,2023-09-09,S101,C002,P004,2,11172.22
47,2023-09-17,S101,C006,P001,1,1210.23
48,2023-09-28,S101,C002,P005,2,8090.35
49,2023-09-20,S101,C004,P002,1,1686.4
50,2023-09-11,S102,C008,P002,2,3135.04
51,2023-09-30,S102,C005,P005,2,7791.31
52,2023-09-25,S102,C001,P004,3,16969.98
53,2023-09-30,S102,C005,P004,1,5984.25
54,2023-09-03,S102,C002,P006,3,2938.39
55,2023-09-01,S102,C003,P006,3,2484.42
56,2023-09-15,S102,C002,P002,1,1658.56
57,2023-09-20,S102,C003,P004,1,5879.36
58,2023-09-19,S102,C004,P002,1,1453.68
59,2023-09-04,S102,C004,P004,1,5641.84
60,2023-09-03,S102,C005,P004,4,22182.57
61,2023-09-18,S102,C005,P003,3,2280.92
62,2023-09-07,S102,C001,P006,4,3243.4
63,2023-09-17,S102,C007,P001,3,3891.88
64,2023-09-09,S102,C001,P005,1,4142.05
65,2023-09-05,S102,C003,P001,4,4965.62
66,2023-09-30,S102,C005,P004,3,15039.94
67,2023-09-12,S102,C008,P001,3,3342.95
68,2023-09-29,S102,C007,P003,2,1456.27
69,2023-09-03,S102,C002,P003,1,692.43
70,2023-09-29,S102,C003,P001,1,1316.79
71,2023-09-08,S102,C006,P003,2,1382.47
72,2023-09-12,S102,C003,P003,2,1345.54
73,2023-09-09,S103,C006,P002,4,6304.63
74,2023-09-02,S103,C002,P004,2,10346.92
75,2023-09-23,S103,C005,P004,4,21456.44
76,2023-09-14,S103,C007,P003,2,1366.65
77,2023-09-01,S103,C005,P002,4,5832.16
78,2023-09-17,S103,C004,P003,8,5184.66
79,2023-09-30,S103,C007,P003,2,1433.08
80,2023-09-26,S103,C003,P004,1,5522.34
81,2023-09-18,S103,C005,P004,4,20496.56
82,2023-09-22,S103,C001,P003,1,735.72
83,2023-09-24,S103,C004,P002,2,2889.31
84,2023-09-24,S103,C006,P003,2,1513.16
85,2023-09-24,S103,C008,P003,3,2252.19
86,2023-09-22,S103,C008,P004,2,10468.14
87,2023-09-07,S103,C003,P005,3,10807.53
88,2023-09-12,S103,C005,P004,1,5090.85
89,2023-09-14,S103,C006,P003,1,655.46
90,2023-09-03,S103,C004,P001,3,3378.45
91,2023-09-22,S103,C004,P004,1,5256.45
92,2023-09-30,S103,C003,P005,1,3770.19
93,2023-09-23,S104,C005,P006,1,848.06
94,2023-09-05,S104,C007,P004,1,5322.8
95,2023-09-23,S104,C004,P003,3,2136.47
96,2023-09-07,S104,C005,P003,2,1361.66
97,2023-09-03,S104,C001,P003,2,1286.66
98,2023-09-14,S104,C007,P002,1,1518.71
99,2023-09-14,S104,C008,P004,1,5140.71
100,2023-09-11,S104,C001,P006,1,883.87
101,2023-09-18,S104,C001,P006,1,984.5
102,2023-09-15,S104,C007,P001,3,3909.15
103,2023-09-14,S104,C008,P001,2,2137.29
104,2023-09-02,S104,C005,P001,2,2215.12
105,2023-09-07,S104,C004,P002,2,3187.93
106,2023-09-27,S104,C006,P003,1,648.82
107,2023-09-14,S104,C007,P004,1,4774.13
108,2023-09-13,S104,C007,P002,3,4772.71
109,2023-09-29,S104,C002,P002,2,3322.74
110,2023-09-25,S104,C001,P003,1,723.3
111,2023-09-19,S104,C006,P006,1,867.73
112,2023-09-23,S104,C002,P002,1,1429.29
113,2023-09-01,S104,C001,P005,1,3729.27
