TicketID,OpenDate,CloseDate,RetailerID,ContractorID,ProductID,ResolutionDays,FirstCallResolution,SatisfactionScore
1,2023-09-20,2023-09-20,S100,C001,P002,0,1,4
2,2023-09-05,2023-09-11,S100,C005,P006,6,1,3
3,2023-09-24,2023-09-28,S101,C003,P002,4,0,5
4,2023-09-24,2023-09-29,S103,C002,P005,5,0,3
5,2023-09-02,2023-09-05,S104,C005,P004,3,0,5
6,2023-09-15,2023-09-16,S104,C002,P002,1,0,4
7,2023-09-07,2023-09-13,S105,C008,P003,6,1,4
8,2023-09-18,2023-09-19,S106,C008,P004,1,1,4
9,2023-09-04,2023-09-10,S107,C006,P003,6,0,4
10,2023-09-21,2023-09-22,S107,C006,P002,1,1,3
11,2023-09-18,2023-09-20,S107,C001,P003,2,1,4
12,2023-09-03,2023-09-06,S107,C001,P001,3,1,3
13,2023-09-10,2023-09-10,S108,C006,P001,0,1,4
14,2023-09-23,2023-09-29,S109,C006,P005,6,0,4
15,2023-09-23,2023-09-27,S109,C007,P003,4,0,4
16,2023-09-16,2023-09-21,S111,C005,P002,5,1,3
17,2023-09-30,2023-10-07,S111,C002,P004,7,1,4
18,2023-10-01,2023-10-03,S100,C001,P001,2,1,4
19,2023-10-23,2023-10-25,S101,C002,P001,2,1,4
20,2023-10-05,2023-10-09,S102,C007,P004,4,0,5
21,2023-10-04,2023-10-10,S102,C004,P002,6,0,4
22,2023-10-29,2023-11-03,S103,C001,P003,5,0,4
23,2023-10-24,2023-10-30,S104,C007,P002,6,0,3
24,2023-10-18,2023-10-20,S104,C006,P004,2,1,3
25,2023-10-01,2023-10-09,S105,C003,P005,8,1,2
26,2023-10-05,2023-10-11,S105,C008,P002,6,1,4
27,2023-10-15,2023-10-20,S105,C006,P003,5,1,4
28,2023-10-23,2023-10-29,S106,C003,P003,6,1,4
29,2023-10-22,2023-10-24,S106,C008,P003,2,1,3
30,2023-10-12,2023-10-16,S107,C003,P001,4,0,4
31,2023-10-07,2023-10-07,S108,C005,P005,0,1,3
32,2023-10-20,2023-10-25,S108,C002,P001,5,0,2
33,2023-10-12,2023-10-18,S109,C007,P003,6,1,5
34,2023-10-25,2023-10-28,S110,C005,P002,3,0,3
35,2023-10-11,2023-10-18,S110,C001,P001,7,1,4
36,2023-10-25,2023-10-31,S111,C003,P006,6,1,3
37,2023-10-03,2023-10-04,S111,C006,P003,1,1,5
38,2023-11-30,2023-12-06,S100,C006,P006,6,0,4
39,2023-11-18,2023-11-20,S100,C004,P002,2,1,4
40,2023-11-26,2023-11-26,S100,C006,P003,0,1,4
41,2023-11-05,2023-11-07,S100,C005,P002,2,0,5
42,2023-11-16,2023-11-23,S101,C001,P002,7,1,4
43,2023-11-29,2023-12-01,S101,C005,P005,2,1,4
44,2023-11-20,2023-11-25,S102,C003,P004,5,1,3
45,2023-11-16,2023-11-18,S102,C008,P005,2,0,4
46,2023-11-20,2023-11-25,S104,C004,P002,5,0,2
47,2023-11-25,2023-11-28,S104,C006,P004,3,0,4
48,2023-11-10,2023-11-13,S105,C003,P001,3,1,4
49,2023-11-30,2023-12-05,S106,C005,P004,5,1,4
50,2023-11-08,2023-11-12,S108,C008,P002,4,1,4
51,2023-11-23,2023-11-28,S108,C001,P003,5,1,3
52,2023-11-14,2023-11-17,S108,C002,P001,3,1,3
53,2023-11-15,2023-11-21,S111,C008,P005,6,1,4
54,2023-11-03,2023-11-10,S111,C005,P002,7,0,5
55,2023-12-25,2023-12-31,S100,C001,P004,6,0,4
56,2023-12-20,2023-12-23,S100,C003,P002,3,1,3
57,2023-12-11,2023-12-11,S101,C005,P001,0,0,4
58,2023-12-09,2023-12-12,S101,C004,P002,3,1,4
59,2023-12-17,2023-12-18,S102,C005,P001,1,0,4
60,2023-12-30,2024-01-02,S102,C005,P005,3,1,3
61,2023-12-27,2023-12-27,S102,C001,P003,0,1,4
62,2023-12-08,2023-12-13,S103,C001,P002,5,0,5
63,2023-12-05,2023-12-11,S104,C004,P005,6,1,4
64,2023-12-07,2023-12-07,S105,C008,P005,0,0,4
65,2023-12-30,2024-01-04,S106,C004,P003,5,1,3
66,2023-12-28,2024-01-06,S106,C007,P003,9,1,4
67,2023-12-23,2024-01-03,S106,C001,P003,11,1,3
68,2023-12-02,2023-12-06,S107,C001,P004,4,0,4
69,2023-12-15,2023-12-22,S107,C004,P004,7,1,4
70,2023-12-25,2024-01-01,S108,C008,P004,7,0,2
71,2023-12-17,2023-12-23,S110,C006,P001,6,1,3
72,2023-12-16,2023-12-20,S110,C005,P003,4,1,4
73,2023-12-22,2023-12-26,S111,C005,P004,4,1,5
74,2024-01-14,2024-01-20,S101,C006,P004,6,1,4
75,2024-01-11,2024-01-14,S102,C008,P003,3,1,4
76,2024-01-26,2024-01-31,S102,C007,P006,5,0,3
77,2024-01-04,2024-01-09,S104,C003,P001,5,1,4
78,2024-01-09,2024-01-17,S105,C007,P003,8,1,3
79,2024-01-09,2024-01-09,S105,C007,P002,0,1,4
80,2024-01-17,2024-01-20,S105,C006,P004,3,1,3
81,2024-01-11,2024-01-16,S106,C001,P003,5,0,3
82,2024-01-02,2024-01-03,S108,C001,P002,1,0,3
83,2024-01-02,2024-01-10,S108,C004,P002,8,1,4
84,2024-01-26,2024-01-26,S108,C004,P003,0,1,4
85,2024-01-22,2024-02-01,S109,C006,P001,10,1,4
86,2024-01-30,2024-02-03,S110,C006,P001,4,0,2
87,2024-01-08,2024-01-09,S111,C004,P006,1,1,4
88,2024-02-02,2024-02-08,S100,C006,P004,6,1,3
89,2024-02-02,2024-02-05,S100,C006,P002,3,0,4
90,2024-02-15,2024-02-17,S101,C006,P003,2,0,4
91,2024-02-13,2024-02-22,S102,C006,P005,9,1,2
92,2024-02-23,2024-02-29,S103,C003,P005,6,1,4
93,2024-02-14,2024-02-19,S103,C005,P005,5,0,3
94,2024-02-01,2024-02-04,S105,C004,P003,3,1,4
95,2024-02-07,2024-02-08,S105,C008,P002,1,0,5
96,2024-02-14,2024-02-17,S106,C004,P001,3,1,4
97,2024-02-04,2024-02-08,S107,C002,P006,4,1,4
98,2024-02-06,2024-02-14,S107,C007,P002,8,1,3
99,2024-02-14,2024-02-20,S108,C005,P005,6,1,5
100,2024-02-07,2024-02-12,S109,C002,P004,5,1,4
101,2024-02-22,2024-02-23,S111,C003,P004,1,1,4
102,2024-03-08,2024-03-14,S100,C005,P002,6,1,3
103,2024-03-05,2024-03-08,S100,C001,P002,3,0,3
104,2024-03-25,2024-03-27,S101,C002,P004,2,1,4
105,2024-03-24,2024-03-27,S101,C001,P002,3,1,4
106,2024-03-19,2024-03-23,S101,C002,P002,4,1,4
107,2024-03-31,2024-04-03,S101,C003,P003,3,0,4
108,2024-03-16,2024-03-22,S102,C007,P001,6,1,3
109,2024-03-23,2024-03-30,S102,C001,P003,7,0,4
110,2024-03-16,2024-03-18,S102,C001,P006,2,1,4
111,2024-03-18,2024-03-23,S103,C003,P003,5,1,4
112,2024-03-08,2024-03-10,S103,C005,P003,2,1,3
113,2024-03-17,2024-03-28,S105,C007,P003,11,1,3
114,2024-03-22,2024-03-29,S106,C003,P001,7,1,4
115,2024-03-31,2024-03-31,S107,C005,P003,0,1,4
116,2024-03-25,2024-03-29,S107,C006,P001,4,1,4
117,2024-03-04,2024-03-07,S107,C007,P004,3,0,4
118,2024-03-16,2024-03-16,S108,C001,P001,0,1,4
119,2024-03-08,2024-03-20,S109,C001,P001,12,0,3
120,2024-03-16,2024-03-16,S110,C006,P003,0,0,4
121,2024-03-26,2024-04-01,S110,C007,P001,6,1,5
122,2024-03-22,2024-03-24,S110,C002,P002,2,1,3
123,2024-03-19,2024-03-27,S111,C001,P003,8,0,2
124,2024-03-03,2024-03-06,S111,C005,P002,3,1,3
125,2024-04-15,2024-04-19,S100,C004,P002,4,0,4
126,2024-04-25,2024-04-30,S101,C008,P002,5,1,2
127,2024-04-07,2024-04-11,S102,C004,P002,4,1,5
128,2024-04-14,2024-04-18,S102,C003,P002,4,1,4
129,2024-04-04,2024-04-13,S103,C004,P002,9,0,3
130,2024-04-29,2024-05-07,S103,C008,P003,8,1,4
131,2024-04-06,2024-04-10,S103,C002,P003,4,1,4
132,2024-04-22,2024-04-30,S103,C002,P003,8,1,4
133,2024-04-06,2024-04-11,S104,C001,P002,5,0,4
134,2024-04-25,2024-05-03,S105,C006,P003,8,1,3
135,2024-04-10,2024-04-14,S105,C002,P004,4,1,4
136,2024-04-15,2024-04-17,S106,C008,P003,2,1,4
137,2024-04-01,2024-04-09,S107,C002,P004,8,0,5
138,2024-04-20,2024-04-21,S108,C001,P003,1,1,4
139,2024-04-10,2024-04-14,S109,C003,P003,4,1,4
140,2024-04-09,2024-04-12,S110,C002,P001,3,0,4
141,2024-04-23,2024-04-29,S111,C007,P003,6,0,3
142,2024-05-08,2024-05-12,S100,C007,P002,4,0,3
143,2024-05-11,2024-05-20,S101,C008,P001,9,1,3
144,2024-05-04,2024-05-08,S102,C005,P002,4,1,4
145,2024-05-26,2024-05-30,S102,C003,P003,4,1,4
146,2024-05-29,2024-06-08,S103,C007,P002,10,0,4
147,2024-05-03,2024-05-14,S104,C003,P001,11,1,3
148,2024-05-27,2024-06-01,S105,C004,P004,5,1,4
149,2024-05-22,2024-05-27,S105,C006,P001,5,1,3
150,2024-05-02,2024-05-07,S105,C007,P006,5,0,4
151,2024-05-12,2024-05-16,S106,C006,P005,4,0,5
152,2024-05-11,2024-05-17,S106,C003,P001,6,1,4
153,2024-05-25,2024-05-26,S107,C003,P006,1,1,4
154,2024-05-06,2024-05-12,S108,C004,P003,6,0,3
155,2024-05-15,2024-05-15,S109,C001,P004,0,1,4
156,2024-05-23,2024-05-27,S109,C001,P004,4,0,5
157,2024-05-09,2024-05-14,S110,C001,P005,5,1,4
158,2024-05-09,2024-05-11,S110,C007,P004,2,1,3
159,2024-05-04,2024-05-08,S110,C002,P004,4,1,3
160,2024-05-13,2024-05-13,S111,C007,P001,0,1,3
161,2024-06-27,2024-07-04,S100,C004,P005,7,1,4
162,2024-06-20,2024-06-26,S100,C004,P001,6,1,4
163,2024-06-28,2024-07-04,S101,C001,P002,6,0,4
164,2024-06-14,2024-06-18,S101,C003,P006,4,1,3
165,2024-06-22,2024-06-28,S101,C008,P002,6,1,3
166,2024-06-15,2024-06-16,S102,C005,P005,1,1,4
167,2024-06-16,2024-06-23,S103,C004,P004,7,0,2
168,2024-06-15,2024-06-26,S103,C008,P005,11,1,4
169,2024-06-23,2024-06-23,S104,C007,P003,0,1,2
170,2024-06-06,2024-06-10,S104,C006,P004,4,1,4
171,2024-06-10,2024-06-14,S104,C005,P004,4,1,4
172,2024-06-17,2024-06-24,S105,C005,P006,7,1,4
173,2024-06-26,2024-06-30,S105,C002,P002,4,0,4
174,2024-06-17,2024-06-22,S105,C008,P002,5,1,4
175,2024-06-10,2024-06-14,S105,C007,P006,4,1,3
176,2024-06-01,2024-06-03,S105,C003,P004,2,0,3
177,2024-06-08,2024-06-13,S106,C005,P005,5,1,5
178,2024-06-18,2024-06-20,S107,C004,P005,2,0,3
179,2024-06-08,2024-06-08,S107,C004,P004,0,1,4
180,2024-06-24,2024-06-26,S108,C006,P002,2,1,4
181,2024-06-02,2024-06-09,S108,C005,P002,7,1,3
182,2024-06-08,2024-06-11,S109,C005,P005,3,1,4
183,2024-06-10,2024-06-20,S109,C002,P002,10,1,2
184,2024-06-08,2024-06-13,S109,C003,P004,5,1,4
185,2024-06-08,2024-06-10,S110,C003,P004,2,1,3
186,2024-06-16,2024-06-25,S110,C005,P001,9,1,2
187,2024-06-16,2024-06-23,S111,C005,P001,7,1,4
188,2024-07-27,2024-07-28,S100,C008,P006,1,1,3
189,2024-07-03,2024-07-06,S100,C003,P003,3,0,4
190,2024-07-30,2024-07-30,S101,C002,P002,0,0,4
191,2024-07-13,2024-07-13,S102,C005,P003,0,1,4
192,2024-07-15,2024-07-19,S102,C006,P006,4,1,5
193,2024-07-15,2024-07-17,S102,C008,P004,2,0,4
194,2024-07-20,2024-07-22,S103,C001,P001,2,1,2
195,2024-07-27,2024-08-06,S104,C004,P003,10,1,3
196,2024-07-19,2024-07-20,S104,C006,P002,1,1,4
197,2024-07-11,2024-07-18,S104,C004,P006,7,0,4
198,2024-07-31,2024-08-05,S105,C002,P004,5,1,4
199,2024-07-09,2024-07-13,S105,C003,P002,4,0,4
200,2024-07-04,2024-07-08,S106,C002,P002,4,1,4
201,2024-07-06,2024-07-09,S106,C007,P004,3,1,3
202,2024-07-12,2024-07-17,S107,C002,P003,5,1,3
203,2024-07-30,2024-08-04,S107,C008,P001,5,1,4
204,2024-07-23,2024-07-23,S108,C001,P001,0,0,3
205,2024-07-17,2024-07-17,S110,C007,P002,0,1,3
206,2024-07-13,2024-07-25,S111,C003,P004,12,1,3
207,2024-07-25,2024-08-01,S111,C004,P004,7,1,3
208,2024-08-24,2024-08-29,S101,C006,P005,5,1,4
209,2024-08-27,2024-08-31,S102,C007,P001,4,0,3
210,2024-08-05,2024-08-10,S102,C002,P004,5,1,4
211,2024-08-10,2024-08-17,S103,C003,P004,7,0,4
212,2024-08-27,2024-09-03,S103,C006,P006,7,1,4
213,2024-08-26,2024-08-31,S104,C004,P001,5,1,4
214,2024-08-06,2024-08-13,S104,C007,P004,7,1,4
215,2024-08-05,2024-08-05,S106,C007,P001,0,1,5
216,2024-08-19,2024-08-24,S107,C006,P001,5,0,4
217,2024-08-20,2024-08-26,S108,C002,P002,6,1,4
218,2024-08-13,2024-08-13,S109,C002,P001,0,1,3
219,2024-08-21,2024-08-25,S109,C003,P004,4,0,4
220,2024-08-30,2024-09-07,S109,C005,P004,8,1,5
221,2024-08-09,2024-08-10,S110,C008,P003,1,1,3
222,2024-08-16,2024-08-20,S111,C002,P002,4,0,3
223,2024-09-28,2024-09-30,S100,C001,P002,2,1,5
224,2024-09-19,2024-09-24,S100,C003,P006,5,1,4
225,2024-09-23,2024-10-02,S100,C005,P001,9,1,4
226,2024-09-06,2024-09-13,S101,C005,P001,7,1,4
227,2024-09-07,2024-09-15,S102,C002,P006,8,1,4
228,2024-09-13,2024-09-18,S102,C008,P003,5,1,5
229,2024-09-09,2024-09-15,S103,C007,P004,6,1,3
230,2024-09-18,2024-09-22,S104,C003,P004,4,0,4
231,2024-09-14,2024-09-21,S105,C004,P002,7,1,4
232,2024-09-28,2024-09-28,S106,C004,P004,0,1,3
233,2024-09-01,2024-09-08,S106,C005,P004,7,0,4
234,2024-09-30,2024-10-05,S106,C005,P005,5,1,3
235,2024-09-08,2024-09-09,S108,C006,P004,1,0,4
236,2024-09-01,2024-09-01,S109,C005,P001,0,0,5
237,2024-09-24,2024-09-30,S109,C005,P003,6,1,4
238,2024-09-25,2024-09-26,S109,C006,P004,1,1,3
239,2024-09-18,2024-09-20,S110,C008,P004,2,1,3
240,2024-09-28,2024-10-09,S110,C001,P001,11,1,4
241,2024-09-19,2024-09-26,S111,C008,P001,7,0,3
242,2024-10-22,2024-10-24,S100,C003,P002,2,1,4
243,2024-10-09,2024-10-16,S101,C005,P001,7,0,3
244,2024-10-29,2024-11-03,S101,C004,P006,5,0,4
245,2024-10-29,2024-10-29,S101,C008,P006,0,1,4
246,2024-10-12,2024-10-16,S101,C008,P002,4,1,4
247,2024-10-25,2024-11-03,S102,C001,P001,9,1,5
248,2024-10-15,2024-10-17,S102,C002,P002,2,1,4
249,2024-10-02,2024-10-07,S102,C002,P003,5,0,3
250,2024-10-12,2024-10-16,S103,C008,P004,4,1,4
251,2024-10-25,2024-10-28,S104,C001,P006,3,1,3
252,2024-10-07,2024-10-10,S105,C007,P001,3,1,3
253,2024-10-16,2024-10-21,S106,C005,P005,5,0,4
254,2024-10-20,2024-10-23,S106,C007,P002,3,1,3
255,2024-10-18,2024-10-25,S108,C007,P001,7,1,4
256,2024-10-15,2024-10-23,S109,C008,P003,8,1,3
257,2024-10-28,2024-11-04,S109,C002,P004,7,1,4
258,2024-10-14,2024-10-20,S111,C003,P003,6,0,4
259,2024-10-18,2024-10-20,S111,C005,P001,2,0,4
260,2024-11-24,2024-11-24,S100,C002,P005,0,1,4
261,2024-11-22,2024-12-02,S100,C004,P001,10,1,3
262,2024-11-27,2024-11-29,S101,C006,P001,2,0,4
263,2024-11-03,2024-11-12,S101,C007,P002,9,0,4
264,2024-11-24,2024-12-03,S102,C005,P004,9,0,5
265,2024-11-26,2024-12-02,S102,C001,P004,6,1,3
266,2024-11-24,2024-11-24,S103,C008,P003,0,1,4
267,2024-11-03,2024-11-05,S104,C005,P005,2,0,3
268,2024-11-08,2024-11-14,S105,C003,P004,6,1,4
269,2024-11-28,2024-11-30,S108,C008,P001,2,0,5
270,2024-11-02,2024-11-09,S109,C003,P003,7,0,3
271,2024-11-19,2024-11-24,S109,C003,P006,5,1,3
272,2024-11-24,2024-11-29,S110,C003,P005,5,1,3
273,2024-11-24,2024-11-25,S110,C004,P004,1,1,3
274,2024-11-29,2024-12-09,S111,C004,P001,10,1,4
275,2024-11-20,2024-11-24,S111,C006,P004,4,1,3
276,2024-12-03,2024-12-04,S100,C003,P002,1,0,4
277,2024-12-11,2024-12-19,S101,C002,P004,8,1,3
278,2024-12-13,2024-12-19,S102,C005,P002,6,1,3
279,2024-12-10,2024-12-10,S103,C006,P002,0,0,3
280,2024-12-10,2024-12-12,S105,C003,P003,2,1,4
281,2024-12-05,2024-12-09,S105,C001,P002,4,0,4
282,2024-12-01,2024-12-05,S105,C003,P001,4,0,3
283,2024-12-18,2024-12-19,S105,C003,P003,1,0,5
284,2024-12-05,2024-12-16,S105,C008,P004,11,0,3
285,2024-12-20,2024-12-26,S106,C003,P001,6,1,3
286,2024-12-08,2024-12-15,S106,C001,P002,7,1,3
287,2024-12-06,2024-12-09,S106,C004,P001,3,1,3
288,2024-12-13,2024-12-13,S107,C003,P005,0,1,2
289,2024-12-15,2024-12-17,S107,C001,P005,2,1,4
290,2024-12-13,2024-12-18,S108,C008,P001,5,1,4
291,2024-12-11,2024-12-15,S109,C008,P001,4,1,3
292,2024-12-18,2024-12-25,S109,C003,P006,7,1,3
293,2024-12-09,2024-12-12,S110,C003,P002,3,1,3
294,2024-12-11,2024-12-11,S110,C004,P004,0,1,3
295,2024-12-14,2024-12-15,S111,C002,P002,1,0,4
296,2025-01-17,2025-01-23,S100,C007,P001,6,0,3
297,2025-01-13,2025-01-18,S101,C004,P001,5,1,3
298,2025-01-03,2025-01-07,S103,C005,P001,4,0,4
299,2025-01-26,2025-02-05,S103,C001,P002,10,0,5
300,2025-01-25,2025-02-06,S104,C007,P003,12,1,4
301,2025-01-13,2025-01-13,S105,C006,P004,0,1,3
302,2025-01-01,2025-01-10,S105,C002,P005,9,1,4
303,2025-01-20,2025-01-25,S106,C004,P005,5,0,4
304,2025-01-20,2025-01-24,S106,C007,P003,4,1,4
305,2025-01-21,2025-01-27,S107,C004,P004,6,1,4
306,2025-01-23,2025-01-25,S107,C003,P001,2,1,3
307,2025-01-16,2025-01-16,S109,C005,P002,0,1,5
308,2025-01-01,2025-01-11,S109,C003,P004,10,0,4
309,2025-01-01,2025-01-01,S111,C002,P001,0,0,4
310,2025-02-16,2025-02-24,S100,C004,P004,8,1,4
311,2025-02-13,2025-02-21,S101,C007,P004,8,0,3
312,2025-02-21,2025-02-28,S102,C003,P002,7,1,4
313,2025-02-02,2025-02-09,S103,C008,P003,7,1,3
314,2025-02-14,2025-02-17,S104,C003,P002,3,1,4
315,2025-02-15,2025-02-21,S104,C007,P001,6,0,4
316,2025-02-24,2025-02-26,S105,C006,P001,2,1,3
317,2025-02-17,2025-02-26,S106,C008,P001,9,0,4
318,2025-02-11,2025-02-18,S107,C007,P004,7,1,5
319,2025-02-16,2025-02-26,S107,C001,P006,10,0,4
320,2025-02-23,2025-03-01,S108,C006,P002,6,1,4
321,2025-02-18,2025-02-21,S108,C008,P002,3,1,4
322,2025-02-28,2025-02-28,S109,C008,P001,0,1,3
323,2025-02-04,2025-02-11,S109,C006,P005,7,0,4
324,2025-02-06,2025-02-07,S111,C004,P004,1,1,3
325,2025-03-31,2025-04-02,S100,C006,P003,2,1,3
326,2025-03-11,2025-03-14,S100,C001,P003,3,1,4
327,2025-03-27,2025-04-04,S102,C003,P001,8,1,4
328,2025-03-07,2025-03-08,S103,C003,P002,1,1,4
329,2025-03-08,2025-03-14,S103,C004,P002,6,0,4
